iter	Passed	Remaining
0	90	44988
1	171	42620
2	250	41559
3	331	41056
4	412	40788
5	500	41206
6	582	41022
7	663	40799
8	745	40667
9	829	40633
10	910	40483
11	995	40475
12	1101	41278
13	1181	41000
14	1259	40718
15	1338	40477
16	1415	40214
17	1498	40122
18	1583	40089
19	1661	39881
20	1743	39770
21	1826	39693
22	1903	39485
23	1981	39309
24	2062	39183
25	2150	39212
26	2230	39077
27	2310	38943
28	2386	38761
29	2463	38598
30	2539	38420
31	2620	38328
32	2701	38228
33	2779	38101
34	2859	37996
35	2936	37849
36	3016	37745
37	3096	37645
38	3177	37553
39	3257	37456
40	3335	37341
41	3411	37200
42	3487	37066
43	3565	36948
44	3642	36826
45	3724	36764
46	3809	36713
47	3886	36596
48	3963	36483
49	4041	36373
50	4121	36281
51	4199	36176
52	4283	36130
53	4363	36042
54	4442	35943
55	4518	35823
56	4594	35710
57	4675	35630
58	4753	35532
59	4839	35491
60	4920	35414
61	4997	35308
62	5076	35210
63	5156	35132
64	5233	35022
65	5311	34924
66	5390	34840
67	5470	34753
68	5547	34651
69	5624	34549
70	5703	34462
71	5781	34365
72	5862	34289
73	5943	34214
